Brand Name,Smartphone Name,Color of Phone,RAM,ROM,Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,Product URL
Google,Pixel 6a,Charcoal,6 GB RAM ,128 GB ROM,12.2MP + 12MP,8MP Front Camera,15.6 cm (6.14 inch) Full HD+ Display,4410 mAh Battery,"₹28,999",https://www.flipkart.com/google-pixel-6a-charcoal-128-gb/p/itme5ae89135d44e?pid=MOBGFKX5YUXD74Z3&lid=LSTMOBGFKX5YUXD74Z3MXA2OB&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGFKX5YUXD74Z3.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
Google,Pixel 6a,Chalk,6 GB RAM ,128 GB ROM,12.2MP + 12MP,8MP Front Camera,15.6 cm (6.14 inch) Full HD+ Display,4410 mAh Battery,"₹28,999",https://www.flipkart.com/google-pixel-6a-chalk-128-gb/p/itme5ae89135d44e?pid=MOBGFWEZ5SKU84Z8&lid=LSTMOBGFWEZ5SKU84Z8FXPB45&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGFWEZ5SKU84Z8.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
realme,10 Pro 5G,Nebula Blue,8 GB RAM ,128 GB ROM,108MP + 2MP,16MP Front Camera,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,"₹19,999",https://www.flipkart.com/realme-10-pro-5g-nebula-blue-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHHFY5VCAY&lid=LSTMOBGK8VHHFY5VCAYOXEXVI&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGK8VHHFY5VCAY.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
realme,10 Pro 5G,Hyperspace,6 GB RAM ,128 GB ROM,108MP + 2MP,16MP Front Camera,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,"₹18,999",https://www.flipkart.com/realme-10-pro-5g-hyperspace-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHECUBAZFA&lid=LSTMOBGK8VHECUBAZFAPQMQUM&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGK8VHECUBAZFA.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
realme,10 Pro 5G,Dark Matter,6 GB RAM ,128 GB ROM,108MP + 2MP,16MP Front Camera,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,"₹18,999",https://www.flipkart.com/realme-10-pro-5g-dark-matter-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHWBRKYFJD&lid=LSTMOBGK8VHWBRKYFJDTEBOFU&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGK8VHWBRKYFJD.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
realme,10 Pro 5G,Hyperspace,8 GB RAM ,128 GB ROM,108MP + 2MP,16MP Front Camera,17.07 cm (6.72 inch) Full HD+ Display,5000 mAh Battery,"₹19,999",https://www.flipkart.com/realme-10-pro-5g-hyperspace-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHZPVGJCES&lid=LSTMOBGK8VHZPVGJCES9YRIWN&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGK8VHZPVGJCES.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
realme,10 Pro+ 5G,Dark Matter,6 GB RAM ,128 GB ROM,108MP + 8MP + 2MP,16MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,"₹24,999",https://www.flipkart.com/realme-10-pro-5g-dark-matter-128-gb/p/itmd32a2fec1fb60?pid=MOBGK8WZ6FQR4YCJ&lid=LSTMOBGK8WZ6FQR4YCJHEJKXL&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGK8WZ6FQR4YCJ.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
realme,10 Pro+ 5G,Hyperspace,6 GB RAM ,128 GB ROM,108MP + 8MP + 2MP,16MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,"₹24,999",https://www.flipkart.com/realme-10-pro-5g-hyperspace-128-gb/p/itmd32a2fec1fb60?pid=MOBGK8WZQJXDBDFF&lid=LSTMOBGK8WZQJXDBDFFRPKQRO&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGK8WZQJXDBDFF.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
REDMI,10A,Slate Grey,3 GB RAM ,32 GB ROM,13MP Rear Camera,-,16.59 cm (6.53 inch) Display,5000 mAh Battery,"₹8,799",https://www.flipkart.com/redmi-10a-slate-grey-32-gb/p/itmab0d50e81ec2e?pid=MOBGHFFTQRCQYYNM&lid=LSTMOBGHFFTQRCQYYNMHQXMXM&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGHFFTQRCQYYNM.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
Micromax,IN 2C,Silver,3 GB RAM ,32 GB ROM,8MP Rear Camera,5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,5000 mAh Battery,"₹5,999",https://www.flipkart.com/micromax-2c-silver-32-gb/p/itm1c641ec8dd5c0?pid=MOBGDCF2YFVMYUCZ&lid=LSTMOBGDCF2YFVMYUCZSZGJJH&marketplace=FLIPKART&q=pixel+6a&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f5be68d9-3f20-40cf-a285-d709e8269b01.MOBGDCF2YFVMYUCZ.SEARCH&ppt=hp&ppn=homepage&ssid=q2vurt7iwg0000001681751607007&qH=d693547b4e4e6757
