Brand Name,Name of The Product,Price Of The Product,Availability,Expected Delivery,Product URL
Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","4,444",In stock,"Thursday, 20 April",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjA3NjE4MjQzMjU0ODkzOjE2ODE3MzEyNDg6c3BfYXRmOjIwMDk2NjA4NzUwNDk4OjowOjo&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dguitar%26qid%3D1681731248%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DAM04Z7MH4HSDD
Intern,"INTERN 40 inches Acoustic Guitar with Pick-up & truss rod, carry bag, strings pack, strap & picks. Premium Wooden durable built, tonal stability with professional sound amplificaiton. (Black).","4,581",In stock,"Thursday, 20 April",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjA3NjE4MjQzMjU0ODkzOjE2ODE3MzEyNDg6c3BfYXRmOjIwMTA0MjU0MzAxODk4OjowOjo&url=%2FAcoustic-Pick-up-stability-professional-amplificaiton%2Fdp%2FB09YHCR3R8%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dguitar%26qid%3D1681731248%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
VAULT,"Vault Traveller 34 Inch Acoustic Guitar With Truss Rod, Gig-Bag, Strap, Strings, Polishing Cloth, String Winder, Picks & E-Book - Natural Gloss","4,084",In stock,"Thursday, 20 April",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjA3NjE4MjQzMjU0ODkzOjE2ODE3MzEyNDg6c3BfYXRmOjIwMDM2MjI1NzQxMDk4OjowOjo&url=%2FTraveller-Acoustic-Guitar-Strings-Polishing%2Fdp%2FB07RK9962M%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dguitar%26qid%3D1681731248%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
ESH Creations,"ESH Creations E40CHEQ High Gloss Semi Acoustic Guitar with Foam Padded Bag, Tuner, Pro Capo, Strings Set, Belt, 3 Picks (Natural)","5,897",In stock,"Friday, 21 April",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjA3NjE4MjQzMjU0ODkzOjE2ODE3MzEyNDg6c3BfYXRmOjIwMDk0NDgxMDkzMTk4OjowOjo&url=%2FESH-Creations-E40CHEQ-Acoustic-Strings%2Fdp%2FB0BMG7BB82%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dguitar%26qid%3D1681731248%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","1,999",In stock,"Wednesday, 19 April",https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_5?keywords=guitar&qid=1681731248&sr=8-5
Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small","2,399",In stock,"Wednesday, 19 April",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_6?keywords=guitar&qid=1681731248&sr=8-6
YAMAHA,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","7,200",In stock,"Wednesday, 19 April",https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_7?keywords=guitar&qid=1681731248&sr=8-7
Intern,Intern INT-38C Acoustic Guitar Kit (Blue),"2,199",-,"Thursday, 20 April",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_8?keywords=guitar&qid=1681731248&sr=8-8
JUAREZ,"Juarez Lindenwood Acoustic Guitar Kit, 38 Inches Cutaway, 38C With Bag, Strings, Pick And Strap, TBS Transparent (Blue Sunburst)","1,999",In stock,"Wednesday, 19 April",https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sr_1_9?keywords=guitar&qid=1681731248&sr=8-9
JUAREZ,"Juarez Lindenwood Acoustic Guitar Kit, 38 Inches Cutaway, 38C With Bag, Strings, Pick And Strap, 3TS Sunburst","1,999",In stock,"Wednesday, 19 April",https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_10?keywords=guitar&qid=1681731248&sr=8-10
